Combination,Number
"Cardiomegaly, Enlarged Cardiomediastinum, Pleural Effusion, Pneumothorax",46
"Cardiomegaly, Enlarged Cardiomediastinum, Pleural Other, Pneumonia",2
"Cardiomegaly, Enlarged Cardiomediastinum, Pleural Other, Pneumothorax",1
"Cardiomegaly, Enlarged Cardiomediastinum, Pneumonia, Pneumothorax",1
"Cardiomegaly, Fracture, Lung Lesion, Lung Opacity",2
"Cardiomegaly, Fracture, Lung Lesion, Pleural Effusion",1
"Cardiomegaly, Fracture, Lung Opacity, Pleural Effusion",21
"Cardiomegaly, Fracture, Lung Opacity, Pleural Other",4
"Cardiomegaly, Fracture, Lung Opacity, Pneumonia",8
"Cardiomegaly, Fracture, Lung Opacity, Pneumothorax",8
"Cardiomegaly, Fracture, Pleural Effusion, Pleural Other",2
"Cardiomegaly, Fracture, Pleural Effusion, Pneumonia",2
"Cardiomegaly, Fracture, Pleural Effusion, Pneumothorax",10
"Cardiomegaly, Fracture, Pleural Other, Pneumothorax",1
"Cardiomegaly, Fracture, Pneumonia, Pneumothorax",2
"Cardiomegaly, Lung Lesion, Lung Opacity, Pleural Effusion",32
"Cardiomegaly, Lung Lesion, Lung Opacity, Pleural Other",1
"Cardiomegaly, Lung Lesion, Lung Opacity, Pneumonia",23
"Cardiomegaly, Lung Lesion, Lung Opacity, Pneumothorax",4
"Cardiomegaly, Lung Lesion, Pleural Effusion, Pleural Other",4
"Cardiomegaly, Lung Lesion, Pleural Effusion, Pneumonia",3
"Cardiomegaly, Lung Lesion, Pleural Other, Pneumonia",1
"Cardiomegaly, Lung Lesion, Pleural Other, Pneumothorax",1
"Cardiomegaly, Lung Opacity, Pleural Effusion, Pleural Other",19
"Cardiomegaly, Lung Opacity, Pleural Effusion, Pneumonia",237
"Cardiomegaly, Lung Opacity, Pleural Effusion, Pneumothorax",69
"Cardiomegaly, Lung Opacity, Pleural Other, Pneumonia",8
"Cardiomegaly, Lung Opacity, Pleural Other, Pneumothorax",2
"Cardiomegaly, Lung Opacity, Pneumonia, Pneumothorax",10
"Cardiomegaly, Pleural Effusion, Pleural Other, Pneumonia",5
"Cardiomegaly, Pleural Effusion, Pleural Other, Pneumothorax",4
"Cardiomegaly, Pleural Effusion, Pneumonia, Pneumothorax",2
"Consolidation, Edema, Enlarged Cardiomediastinum, Fracture",1
"Consolidation, Edema, Enlarged Cardiomediastinum, Lung Lesion",2
"Consolidation, Edema, Enlarged Cardiomediastinum, Lung Opacity",14
"Consolidation, Edema, Enlarged Cardiomediastinum, Pleural Effusion",39
"Consolidation, Edema, Enlarged Cardiomediastinum, Pneumonia",24
"Consolidation, Edema, Enlarged Cardiomediastinum, Pneumothorax",2
"Consolidation, Edema, Fracture, Pleural Effusion",1
"Consolidation, Edema, Fracture, Pleural Other",1
"Consolidation, Edema, Lung Lesion, Lung Opacity",5
"Consolidation, Edema, Lung Lesion, Pleural Effusion",9
"Consolidation, Edema, Lung Lesion, Pneumonia",7
"Consolidation, Edema, Lung Opacity, Pleural Effusion",74
"Consolidation, Edema, Lung Opacity, Pleural Other",1
"Consolidation, Edema, Lung Opacity, Pneumonia",82
"Consolidation, Edema, Lung Opacity, Pneumothorax",1
"Consolidation, Edema, Pleural Effusion, Pleural Other",2
"Consolidation, Edema, Pleural Effusion, Pneumonia",209
"Consolidation, Edema, Pleural Effusion, Pneumothorax",22
"Consolidation, Edema, Pleural Other, Pneumonia",2
"Consolidation, Edema, Pneumonia, Pneumothorax",3
"Consolidation, Enlarged Cardiomediastinum, Fracture, Lung Opacity",3
"Consolidation, Enlarged Cardiomediastinum, Fracture, Pneumonia",1
"Consolidation, Enlarged Cardiomediastinum, Lung Lesion, Lung Opacity",13
"Consolidation, Enlarged Cardiomediastinum, Lung Lesion, Pleural Effusion",4
"Consolidation, Enlarged Cardiomediastinum, Lung Lesion, Pneumonia",3
"Consolidation, Enlarged Cardiomediastinum, Lung Lesion, Pneumothorax",1
"Consolidation, Enlarged Cardiomediastinum, Lung Opacity, Pleural Effusion",32
"Consolidation, Enlarged Cardiomediastinum, Lung Opacity, Pleural Other",1
"Consolidation, Enlarged Cardiomediastinum, Lung Opacity, Pneumonia",27
"Consolidation, Enlarged Cardiomediastinum, Lung Opacity, Pneumothorax",3
"Consolidation, Enlarged Cardiomediastinum, Pleural Effusion, Pleural Other",3
"Consolidation, Enlarged Cardiomediastinum, Pleural Effusion, Pneumonia",26
"Consolidation, Enlarged Cardiomediastinum, Pleural Effusion, Pneumothorax",13
"Consolidation, Enlarged Cardiomediastinum, Pleural Other, Pneumonia",1
"Consolidation, Enlarged Cardiomediastinum, Pneumonia, Pneumothorax",3
"Consolidation, Fracture, Lung Opacity, Pleural Effusion",5
"Consolidation, Fracture, Lung Opacity, Pneumothorax",3
"Consolidation, Fracture, Pleural Effusion, Pneumonia",4
"Consolidation, Fracture, Pleural Effusion, Pneumothorax",4
"Consolidation, Fracture, Pleural Other, Pneumonia",1
"Consolidation, Fracture, Pneumonia, Pneumothorax",3
"Consolidation, Lung Lesion, Lung Opacity, Pleural Effusion",19
"Consolidation, Lung Lesion, Lung Opacity, Pleural Other",1
"Consolidation, Lung Lesion, Lung Opacity, Pneumonia",50
"Consolidation, Lung Lesion, Lung Opacity, Pneumothorax",3
"Consolidation, Lung Lesion, Pleural Effusion, Pleural Other",1
"Consolidation, Lung Lesion, Pleural Effusion, Pneumonia",32
"Consolidation, Lung Lesion, Pleural Effusion, Pneumothorax",6
"Consolidation, Lung Opacity, Pleural Effusion, Pleural Other",7
"Consolidation, Lung Opacity, Pleural Effusion, Pneumonia",137
"Consolidation, Lung Opacity, Pleural Effusion, Pneumothorax",23
"Consolidation, Lung Opacity, Pleural Other, Pneumonia",5
"Consolidation, Lung Opacity, Pneumonia, Pneumothorax",2
"Consolidation, Pleural Effusion, Pleural Other, Pneumonia",2
"Consolidation, Pleural Effusion, Pleural Other, Pneumothorax",1
"Consolidation, Pleural Effusion, Pneumonia, Pneumothorax",15
"Edema, Enlarged Cardiomediastinum, Fracture, Pleural Effusion",5
"Edema, Enlarged Cardiomediastinum, Fracture, Pneumonia",1
"Edema, Enlarged Cardiomediastinum, Fracture, Pneumothorax",1
"Edema, Enlarged Cardiomediastinum, Lung Lesion, Lung Opacity",5
"Edema, Enlarged Cardiomediastinum, Lung Lesion, Pleural Effusion",6
"Edema, Enlarged Cardiomediastinum, Lung Opacity, Pleural Effusion",100
"Edema, Enlarged Cardiomediastinum, Lung Opacity, Pleural Other",4
"Edema, Enlarged Cardiomediastinum, Lung Opacity, Pneumonia",97
"Edema, Enlarged Cardiomediastinum, Lung Opacity, Pneumothorax",8
"Edema, Enlarged Cardiomediastinum, Pleural Effusion, Pleural Other",5
"Edema, Enlarged Cardiomediastinum, Pleural Effusion, Pneumonia",34
"Edema, Enlarged Cardiomediastinum, Pleural Effusion, Pneumothorax",27
"Edema, Enlarged Cardiomediastinum, Pleural Other, Pneumonia",1
"Edema, Enlarged Cardiomediastinum, Pneumonia, Pneumothorax",7
"Edema, Fracture, Lung Lesion, Lung Opacity",1
"Edema, Fracture, Lung Opacity, Pleural Effusion",9
"Edema, Fracture, Lung Opacity, Pneumonia",13
"Edema, Fracture, Lung Opacity, Pneumothorax",1
"Edema, Fracture, Pleural Effusion, Pleural Other",1
"Edema, Fracture, Pleural Effusion, Pneumonia",2
"Edema, Fracture, Pleural Effusion, Pneumothorax",2
"Edema, Lung Lesion, Lung Opacity, Pleural Effusion",30
"Edema, Lung Lesion, Lung Opacity, Pleural Other",1
"Edema, Lung Lesion, Lung Opacity, Pneumonia",56
"Edema, Lung Lesion, Lung Opacity, Pneumothorax",1
"Edema, Lung Lesion, Pleural Effusion, Pleural Other",2
"Edema, Lung Lesion, Pleural Effusion, Pneumonia",14
"Edema, Lung Lesion, Pleural Effusion, Pneumothorax",3
"Edema, Lung Opacity, Pleural Effusion, Pleural Other",13
"Edema, Lung Opacity, Pleural Effusion, Pneumonia",605
"Edema, Lung Opacity, Pleural Effusion, Pneumothorax",34
"Edema, Lung Opacity, Pleural Other, Pneumonia",25
"Edema, Lung Opacity, Pneumonia, Pneumothorax",28
"Edema, Pleural Effusion, Pleural Other, Pneumonia",6
"Edema, Pleural Effusion, Pleural Other, Pneumothorax",2
"Edema, Pleural Effusion, Pneumonia, Pneumothorax",6
"Enlarged Cardiomediastinum, Fracture, Lung Lesion, Lung Opacity",2
"Enlarged Cardiomediastinum, Fracture, Lung Lesion, Pleural Effusion",1
"Enlarged Cardiomediastinum, Fracture, Lung Lesion, Pleural Other",1
"Enlarged Cardiomediastinum, Fracture, Lung Opacity, Pleural Effusion",12
"Enlarged Cardiomediastinum, Fracture, Lung Opacity, Pleural Other",1
"Enlarged Cardiomediastinum, Fracture, Lung Opacity, Pneumonia",4
"Enlarged Cardiomediastinum, Fracture, Lung Opacity, Pneumothorax",2
"Enlarged Cardiomediastinum, Fracture, Pleural Effusion, Pleural Other",1
"Enlarged Cardiomediastinum, Fracture, Pleural Effusion, Pneumothorax",8
"Enlarged Cardiomediastinum, Fracture, Pleural Other, Pneumonia",2
"Enlarged Cardiomediastinum, Lung Lesion, Lung Opacity, Pleural Effusion",19
"Enlarged Cardiomediastinum, Lung Lesion, Lung Opacity, Pneumonia",23
"Enlarged Cardiomediastinum, Lung Lesion, Lung Opacity, Pneumothorax",10
"Enlarged Cardiomediastinum, Lung Lesion, Pleural Effusion, Pleural Other",4
"Enlarged Cardiomediastinum, Lung Lesion, Pleural Effusion, Pneumonia",4
"Enlarged Cardiomediastinum, Lung Lesion, Pleural Effusion, Pneumothorax",6
"Enlarged Cardiomediastinum, Lung Lesion, Pleural Other, Pneumonia",2
"Enlarged Cardiomediastinum, Lung Opacity, Pleural Effusion, Pleural Other",8
"Enlarged Cardiomediastinum, Lung Opacity, Pleural Effusion, Pneumonia",65
"Enlarged Cardiomediastinum, Lung Opacity, Pleural Effusion, Pneumothorax",32
"Enlarged Cardiomediastinum, Lung Opacity, Pleural Other, Pneumonia",6
"Enlarged Cardiomediastinum, Lung Opacity, Pleural Other, Pneumothorax",4
"Enlarged Cardiomediastinum, Lung Opacity, Pneumonia, Pneumothorax",3
"Enlarged Cardiomediastinum, Pleural Effusion, Pleural Other, Pneumonia",2
"Enlarged Cardiomediastinum, Pleural Effusion, Pleural Other, Pneumothorax",4
"Fracture, Lung Lesion, Lung Opacity, Pleural Effusion",1
"Fracture, Lung Lesion, Lung Opacity, Pneumonia",2
"Fracture, Lung Lesion, Pleural Effusion, Pleural Other",1
"Fracture, Lung Opacity, Pleural Effusion, Pleural Other",4
"Fracture, Lung Opacity, Pleural Effusion, Pneumonia",6
"Fracture, Lung Opacity, Pleural Effusion, Pneumothorax",10
"Fracture, Lung Opacity, Pleural Other, Pneumonia",1
"Fracture, Lung Opacity, Pneumonia, Pneumothorax",2
"Fracture, Pleural Effusion, Pleural Other, Pneumonia",1
"Lung Lesion, Lung Opacity, Pleural Effusion, Pleural Other",13
"Lung Lesion, Lung Opacity, Pleural Effusion, Pneumonia",59
"Lung Lesion, Lung Opacity, Pleural Effusion, Pneumothorax",13
"Lung Lesion, Lung Opacity, Pleural Other, Pneumonia",9
"Lung Lesion, Lung Opacity, Pneumonia, Pneumothorax",4
"Lung Lesion, Pleural Effusion, Pleural Other, Pneumonia",1
"Lung Opacity, Pleural Effusion, Pleural Other, Pneumonia",22
"Lung Opacity, Pleural Effusion, Pleural Other, Pneumothorax",6
"Lung Opacity, Pleural Effusion, Pneumonia, Pneumothorax",18
"Atelectasis, Cardiomegaly, Consolidation, Edema, Enlarged Cardiomediastinum",16
"Atelectasis, Cardiomegaly, Consolidation, Edema, Lung Opacity",58
"Atelectasis, Cardiomegaly, Consolidation, Edema, Pleural Effusion",253
"Atelectasis, Cardiomegaly, Consolidation, Edema, Pneumonia",35
"Atelectasis, Cardiomegaly, Consolidation, Edema, Pneumothorax",3
"Atelectasis, Cardiomegaly, Consolidation, Enlarged Cardiomediastinum, Fracture",1
"Atelectasis, Cardiomegaly, Consolidation, Enlarged Cardiomediastinum, Lung Lesion",1
"Atelectasis, Cardiomegaly, Consolidation, Enlarged Cardiomediastinum, Lung Opacity",10
"Atelectasis, Cardiomegaly, Consolidation, Enlarged Cardiomediastinum, Pleural Effusion",23
"Atelectasis, Cardiomegaly, Consolidation, Enlarged Cardiomediastinum, Pneumonia",9
"Atelectasis, Cardiomegaly, Consolidation, Enlarged Cardiomediastinum, Pneumothorax",2
"Atelectasis, Cardiomegaly, Consolidation, Fracture, Lung Opacity",2
"Atelectasis, Cardiomegaly, Consolidation, Fracture, Pleural Effusion",5
"Atelectasis, Cardiomegaly, Consolidation, Lung Lesion, Lung Opacity",3
"Atelectasis, Cardiomegaly, Consolidation, Lung Lesion, Pleural Effusion",5
"Atelectasis, Cardiomegaly, Consolidation, Lung Lesion, Pneumonia",1
"Atelectasis, Cardiomegaly, Consolidation, Lung Lesion, Pneumothorax",1
"Atelectasis, Cardiomegaly, Consolidation, Lung Opacity, Pleural Effusion",84
"Atelectasis, Cardiomegaly, Consolidation, Lung Opacity, Pneumonia",24
"Atelectasis, Cardiomegaly, Consolidation, Pleural Effusion, Pleural Other",4
"Atelectasis, Cardiomegaly, Consolidation, Pleural Effusion, Pneumonia",103
"Atelectasis, Cardiomegaly, Consolidation, Pleural Effusion, Pneumothorax",13
"Atelectasis, Cardiomegaly, Consolidation, Pneumonia, Pneumothorax",2
"Atelectasis, Cardiomegaly, Edema, Enlarged Cardiomediastinum, Fracture",1
"Atelectasis, Cardiomegaly, Edema, Enlarged Cardiomediastinum, Lung Lesion",2
"Atelectasis, Cardiomegaly, Edema, Enlarged Cardiomediastinum, Lung Opacity",35
"Atelectasis, Cardiomegaly, Edema, Enlarged Cardiomediastinum, Pleural Effusion",190
"Atelectasis, Cardiomegaly, Edema, Enlarged Cardiomediastinum, Pneumonia",8
"Atelectasis, Cardiomegaly, Edema, Enlarged Cardiomediastinum, Pneumothorax",7
"Atelectasis, Cardiomegaly, Edema, Fracture, Lung Lesion",1
"Atelectasis, Cardiomegaly, Edema, Fracture, Lung Opacity",3
"Atelectasis, Cardiomegaly, Edema, Fracture, Pleural Effusion",14
"Atelectasis, Cardiomegaly, Edema, Fracture, Pneumonia",2
"Atelectasis, Cardiomegaly, Edema, Fracture, Pneumothorax",2
"Atelectasis, Cardiomegaly, Edema, Lung Lesion, Lung Opacity",6
"Atelectasis, Cardiomegaly, Edema, Lung Lesion, Pleural Effusion",11
"Atelectasis, Cardiomegaly, Edema, Lung Opacity, Pleural Effusion",721
"Atelectasis, Cardiomegaly, Edema, Lung Opacity, Pleural Other",4
"Atelectasis, Cardiomegaly, Edema, Lung Opacity, Pneumonia",261
"Atelectasis, Cardiomegaly, Edema, Lung Opacity, Pneumothorax",11
"Atelectasis, Cardiomegaly, Edema, Pleural Effusion, Pleural Other",11
"Atelectasis, Cardiomegaly, Edema, Pleural Effusion, Pneumonia",122
"Atelectasis, Cardiomegaly, Edema, Pleural Effusion, Pneumothorax",53
"Atelectasis, Cardiomegaly, Enlarged Cardiomediastinum, Fracture, Lung Opacity",5
"Atelectasis, Cardiomegaly, Enlarged Cardiomediastinum, Fracture, Pleural Effusion",9
"Atelectasis, Cardiomegaly, Enlarged Cardiomediastinum, Fracture, Pneumonia",1
"Atelectasis, Cardiomegaly, Enlarged Cardiomediastinum, Fracture, Pneumothorax",1
"Atelectasis, Cardiomegaly, Enlarged Cardiomediastinum, Lung Lesion, Lung Opacity",4
"Atelectasis, Cardiomegaly, Enlarged Cardiomediastinum, Lung Lesion, Pleural Effusion",6
"Atelectasis, Cardiomegaly, Enlarged Cardiomediastinum, Lung Opacity, Pleural Effusion",135
"Atelectasis, Cardiomegaly, Enlarged Cardiomediastinum, Lung Opacity, Pleural Other",1
"Atelectasis, Cardiomegaly, Enlarged Cardiomediastinum, Lung Opacity, Pneumonia",100
"Atelectasis, Cardiomegaly, Enlarged Cardiomediastinum, Lung Opacity, Pneumothorax",10
"Atelectasis, Cardiomegaly, Enlarged Cardiomediastinum, Pleural Effusion, Pleural Other",1
"Atelectasis, Cardiomegaly, Enlarged Cardiomediastinum, Pleural Effusion, Pneumonia",13
"Atelectasis, Cardiomegaly, Enlarged Cardiomediastinum, Pleural Effusion, Pneumothorax",51
"Atelectasis, Cardiomegaly, Fracture, Lung Lesion, Pleural Effusion",2
"Atelectasis, Cardiomegaly, Fracture, Lung Opacity, Pleural Effusion",21
"Atelectasis, Cardiomegaly, Fracture, Lung Opacity, Pleural Other",2
"Atelectasis, Cardiomegaly, Fracture, Lung Opacity, Pneumonia",6
"Atelectasis, Cardiomegaly, Fracture, Pleural Effusion, Pleural Other",1
"Atelectasis, Cardiomegaly, Fracture, Pleural Effusion, Pneumonia",2
"Atelectasis, Cardiomegaly, Fracture, Pleural Effusion, Pneumothorax",7
"Atelectasis, Cardiomegaly, Fracture, Pleural Other, Pneumothorax",1
"Atelectasis, Cardiomegaly, Fracture, Pneumonia, Pneumothorax",1
"Atelectasis, Cardiomegaly, Lung Lesion, Lung Opacity, Pleural Effusion",33
"Atelectasis, Cardiomegaly, Lung Lesion, Lung Opacity, Pneumonia",15
"Atelectasis, Cardiomegaly, Lung Lesion, Pleural Effusion, Pneumonia",4
"Atelectasis, Cardiomegaly, Lung Lesion, Pleural Effusion, Pneumothorax",4
"Atelectasis, Cardiomegaly, Lung Opacity, Pleural Effusion, Pleural Other",12
"Atelectasis, Cardiomegaly, Lung Opacity, Pleural Effusion, Pneumonia",399
"Atelectasis, Cardiomegaly, Lung Opacity, Pleural Effusion, Pneumothorax",36
"Atelectasis, Cardiomegaly, Lung Opacity, Pleural Other, Pneumonia",4
"Atelectasis, Cardiomegaly, Lung Opacity, Pleural Other, Pneumothorax",3
"Atelectasis, Cardiomegaly, Lung Opacity, Pneumonia, Pneumothorax",4
"Atelectasis, Cardiomegaly, Pleural Effusion, Pleural Other, Pneumonia",1
"Atelectasis, Cardiomegaly, Pleural Effusion, Pleural Other, Pneumothorax",6
"Atelectasis, Cardiomegaly, Pleural Effusion, Pneumonia, Pneumothorax",2
"Atelectasis, Consolidation, Edema, Enlarged Cardiomediastinum, Lung Lesion",1
"Atelectasis, Consolidation, Edema, Enlarged Cardiomediastinum, Lung Opacity",9
"Atelectasis, Consolidation, Edema, Enlarged Cardiomediastinum, Pleural Effusion",38
"Atelectasis, Consolidation, Edema, Enlarged Cardiomediastinum, Pneumonia",5
"Atelectasis, Consolidation, Edema, Enlarged Cardiomediastinum, Pneumothorax",1
"Atelectasis, Consolidation, Edema, Fracture, Lung Opacity",1
"Atelectasis, Consolidation, Edema, Fracture, Pleural Effusion",2
"Atelectasis, Consolidation, Edema, Fracture, Pleural Other",1
"Atelectasis, Consolidation, Edema, Lung Lesion, Pleural Effusion",4
"Atelectasis, Consolidation, Edema, Lung Lesion, Pleural Other",1
"Atelectasis, Consolidation, Edema, Lung Lesion, Pneumonia",1
"Atelectasis, Consolidation, Edema, Lung Opacity, Pleural Effusion",110
"Atelectasis, Consolidation, Edema, Lung Opacity, Pleural Other",1
"Atelectasis, Consolidation, Edema, Lung Opacity, Pneumonia",25
"Atelectasis, Consolidation, Edema, Lung Opacity, Pneumothorax",4
"Atelectasis, Consolidation, Edema, Pleural Effusion, Pleural Other",1
"Atelectasis, Consolidation, Edema, Pleural Effusion, Pneumonia",172
"Atelectasis, Consolidation, Edema, Pleural Effusion, Pneumothorax",5
"Atelectasis, Consolidation, Edema, Pneumonia, Pneumothorax",2
"Atelectasis, Consolidation, Enlarged Cardiomediastinum, Fracture, Lung Opacity",1
"Atelectasis, Consolidation, Enlarged Cardiomediastinum, Fracture, Pleural Effusion",3
"Atelectasis, Consolidation, Enlarged Cardiomediastinum, Lung Lesion, Lung Opacity",2
"Atelectasis, Consolidation, Enlarged Cardiomediastinum, Lung Lesion, Pleural Effusion",8
"Atelectasis, Consolidation, Enlarged Cardiomediastinum, Lung Opacity, Pleural Effusion",65
"Atelectasis, Consolidation, Enlarged Cardiomediastinum, Lung Opacity, Pleural Other",1
"Atelectasis, Consolidation, Enlarged Cardiomediastinum, Lung Opacity, Pneumonia",23
"Atelectasis, Consolidation, Enlarged Cardiomediastinum, Pleural Effusion, Pleural Other",1
"Atelectasis, Consolidation, Enlarged Cardiomediastinum, Pleural Effusion, Pneumonia",34
"Atelectasis, Consolidation, Enlarged Cardiomediastinum, Pleural Effusion, Pneumothorax",6
"Atelectasis, Consolidation, Enlarged Cardiomediastinum, Pleural Other, Pneumonia",1
"Atelectasis, Consolidation, Enlarged Cardiomediastinum, Pneumonia, Pneumothorax",2
"Atelectasis, Consolidation, Fracture, Lung Lesion, Lung Opacity",1
"Atelectasis, Consolidation, Fracture, Lung Opacity, Pleural Effusion",4
"Atelectasis, Consolidation, Fracture, Lung Opacity, Pleural Other",1
"Atelectasis, Consolidation, Fracture, Lung Opacity, Pneumonia",4
"Atelectasis, Consolidation, Fracture, Lung Opacity, Pneumothorax",1
"Atelectasis, Consolidation, Fracture, Pleural Effusion, Pneumonia",5
"Atelectasis, Consolidation, Fracture, Pleural Effusion, Pneumothorax",1
"Atelectasis, Consolidation, Fracture, Pleural Other, Pneumonia",1
"Atelectasis, Consolidation, Lung Lesion, Lung Opacity, Pleural Effusion",32
"Atelectasis, Consolidation, Lung Lesion, Lung Opacity, Pleural Other",2
"Atelectasis, Consolidation, Lung Lesion, Lung Opacity, Pneumonia",10
"Atelectasis, Consolidation, Lung Lesion, Pleural Effusion, Pneumonia",7
"Atelectasis, Consolidation, Lung Lesion, Pleural Effusion, Pneumothorax",1
"Atelectasis, Consolidation, Lung Opacity, Pleural Effusion, Pleural Other",3
"Atelectasis, Consolidation, Lung Opacity, Pleural Effusion, Pneumonia",167
"Atelectasis, Consolidation, Lung Opacity, Pleural Effusion, Pneumothorax",30
"Atelectasis, Consolidation, Lung Opacity, Pleural Other, Pneumonia",2
"Atelectasis, Consolidation, Lung Opacity, Pneumonia, Pneumothorax",3
"Atelectasis, Consolidation, Pleural Effusion, Pleural Other, Pneumonia",1
"Atelectasis, Consolidation, Pleural Effusion, Pleural Other, Pneumothorax",1
"Atelectasis, Consolidation, Pleural Effusion, Pneumonia, Pneumothorax",16
"Atelectasis, Edema, Enlarged Cardiomediastinum, Fracture, Lung Opacity",2
"Atelectasis, Edema, Enlarged Cardiomediastinum, Fracture, Pleural Effusion",4
"Atelectasis, Edema, Enlarged Cardiomediastinum, Fracture, Pneumothorax",2
"Atelectasis, Edema, Enlarged Cardiomediastinum, Lung Lesion, Pleural Effusion",2
"Atelectasis, Edema, Enlarged Cardiomediastinum, Lung Opacity, Pleural Effusion",164
"Atelectasis, Edema, Enlarged Cardiomediastinum, Lung Opacity, Pleural Other",2
"Atelectasis, Edema, Enlarged Cardiomediastinum, Lung Opacity, Pneumonia",51
"Atelectasis, Edema, Enlarged Cardiomediastinum, Lung Opacity, Pneumothorax",3
"Atelectasis, Edema, Enlarged Cardiomediastinum, Pleural Effusion, Pleural Other",3
"Atelectasis, Edema, Enlarged Cardiomediastinum, Pleural Effusion, Pneumonia",12
"Atelectasis, Edema, Enlarged Cardiomediastinum, Pleural Effusion, Pneumothorax",24
"Atelectasis, Edema, Enlarged Cardiomediastinum, Pneumonia, Pneumothorax",1
"Atelectasis, Edema, Fracture, Lung Opacity, Pleural Effusion",11
"Atelectasis, Edema, Fracture, Lung Opacity, Pneumonia",9
"Atelectasis, Edema, Lung Lesion, Lung Opacity, Pleural Effusion",23
"Atelectasis, Edema, Lung Lesion, Lung Opacity, Pneumonia",21
"Atelectasis, Edema, Lung Lesion, Lung Opacity, Pneumothorax",2
"Atelectasis, Edema, Lung Lesion, Pleural Effusion, Pneumonia",4
"Atelectasis, Edema, Lung Lesion, Pleural Effusion, Pneumothorax",2
"Atelectasis, Edema, Lung Opacity, Pleural Effusion, Pleural Other",3
"Atelectasis, Edema, Lung Opacity, Pleural Effusion, Pneumonia",672
"Atelectasis, Edema, Lung Opacity, Pleural Effusion, Pneumothorax",17
"Atelectasis, Edema, Lung Opacity, Pleural Other, Pneumonia",3
"Atelectasis, Edema, Lung Opacity, Pleural Other, Pneumothorax",1
"Atelectasis, Edema, Lung Opacity, Pneumonia, Pneumothorax",8
"Atelectasis, Edema, Pleural Effusion, Pleural Other, Pneumothorax",1
"Atelectasis, Edema, Pleural Effusion, Pneumonia, Pneumothorax",3
"Atelectasis, Enlarged Cardiomediastinum, Fracture, Lung Lesion, Lung Opacity",1
"Atelectasis, Enlarged Cardiomediastinum, Fracture, Lung Opacity, Pleural Effusion",16
"Atelectasis, Enlarged Cardiomediastinum, Fracture, Lung Opacity, Pleural Other",1
"Atelectasis, Enlarged Cardiomediastinum, Fracture, Lung Opacity, Pneumonia",7
"Atelectasis, Enlarged Cardiomediastinum, Fracture, Lung Opacity, Pneumothorax",5
"Atelectasis, Enlarged Cardiomediastinum, Fracture, Pleural Effusion, Pneumonia",1
"Atelectasis, Enlarged Cardiomediastinum, Fracture, Pleural Effusion, Pneumothorax",1
"Atelectasis, Enlarged Cardiomediastinum, Lung Lesion, Lung Opacity, Pleural Effusion",18
"Atelectasis, Enlarged Cardiomediastinum, Lung Lesion, Lung Opacity, Pleural Other",1
"Atelectasis, Enlarged Cardiomediastinum, Lung Lesion, Lung Opacity, Pneumonia",17
"Atelectasis, Enlarged Cardiomediastinum, Lung Lesion, Lung Opacity, Pneumothorax",4
"Atelectasis, Enlarged Cardiomediastinum, Lung Lesion, Pleural Effusion, Pleural Other",1
"Atelectasis, Enlarged Cardiomediastinum, Lung Lesion, Pleural Effusion, Pneumonia",2
"Atelectasis, Enlarged Cardiomediastinum, Lung Lesion, Pleural Effusion, Pneumothorax",4
"Atelectasis, Enlarged Cardiomediastinum, Lung Lesion, Pleural Other, Pneumonia",1
"Atelectasis, Enlarged Cardiomediastinum, Lung Opacity, Pleural Effusion, Pleural Other",9
"Atelectasis, Enlarged Cardiomediastinum, Lung Opacity, Pleural Effusion, Pneumonia",279
"Atelectasis, Enlarged Cardiomediastinum, Lung Opacity, Pleural Effusion, Pneumothorax",57
"Atelectasis, Enlarged Cardiomediastinum, Lung Opacity, Pleural Other, Pneumonia",3
"Atelectasis, Enlarged Cardiomediastinum, Lung Opacity, Pleural Other, Pneumothorax",1
"Atelectasis, Enlarged Cardiomediastinum, Lung Opacity, Pneumonia, Pneumothorax",32
"Atelectasis, Enlarged Cardiomediastinum, Pleural Effusion, Pleural Other, Pneumothorax",1
"Atelectasis, Fracture, Lung Lesion, Lung Opacity, Pneumonia",1
"Atelectasis, Fracture, Lung Opacity, Pleural Effusion, Pleural Other",3
"Atelectasis, Fracture, Lung Opacity, Pleural Effusion, Pneumonia",20
"Atelectasis, Fracture, Lung Opacity, Pleural Effusion, Pneumothorax",8
"Atelectasis, Fracture, Lung Opacity, Pleural Other, Pneumonia",2
"Atelectasis, Fracture, Lung Opacity, Pleural Other, Pneumothorax",2
"Atelectasis, Fracture, Lung Opacity, Pneumonia, Pneumothorax",4
"Atelectasis, Lung Lesion, Lung Opacity, Pleural Effusion, Pleural Other",4
"Atelectasis, Lung Lesion, Lung Opacity, Pleural Effusion, Pneumonia",76
"Atelectasis, Lung Lesion, Lung Opacity, Pleural Effusion, Pneumothorax",13
"Atelectasis, Lung Lesion, Lung Opacity, Pleural Other, Pneumonia",2
"Atelectasis, Lung Lesion, Lung Opacity, Pneumonia, Pneumothorax",3
"Atelectasis, Lung Lesion, Pleural Effusion, Pleural Other, Pneumonia",2
"Atelectasis, Lung Opacity, Pleural Effusion, Pleural Other, Pneumonia",13
"Atelectasis, Lung Opacity, Pleural Effusion, Pleural Other, Pneumothorax",2
"Atelectasis, Lung Opacity, Pleural Effusion, Pneumonia, Pneumothorax",48
